"","n.train","prediction.class","metric.type","dataset","value","min","max","sd","class.prop"
"418",28000,"ntmaj10int","Balanced.Accuracy","Custom",0.502366387650841,0.499445228969135,0.5122409925625,0.00271114974248967,1.8326
"419",28000,"ntmaj10int","Balanced.Accuracy","Minimal",0.502916218858944,0.499419602301403,0.510681016099465,0.0029863116833157,1.8688
"420",28000,"ntmaj10int","Balanced.Accuracy","Standard",0.502977745328851,0.499369610166927,0.511274467431184,0.00285796216663255,1.8486
"421",28000,"ntmaj10mutual","Balanced.Accuracy","Custom",0.509860848404207,0.499648311897106,0.524450952557942,0.00615454763580588,0.9952
"422",28000,"ntmaj10mutual","Balanced.Accuracy","Minimal",0.509444989666743,0.499497664138243,0.528900048843779,0.00646947407922099,0.9963
"423",28000,"ntmaj10mutual","Balanced.Accuracy","Standard",0.510661515359897,0.499623058752576,0.53944629095292,0.00679435691891787,0.9746
"424",28000,"ntmaj10public","Balanced.Accuracy","Custom",0.671912390505804,0.65975175182024,0.685496139376981,0.00507332059381121,28.2551
"425",28000,"ntmaj10public","Balanced.Accuracy","Minimal",0.672487630715964,0.65635049554044,0.684751535291271,0.00569386038026081,28.1785
"426",28000,"ntmaj10public","Balanced.Accuracy","Standard",0.672493687596575,0.656268426887585,0.685339506074299,0.00487848480401486,28.1946
"427",28000,"ntmaj10rel","Balanced.Accuracy","Custom",0.839152706089002,0.824506837199687,0.854346875895497,0.00704992711101127,13.3366
"428",28000,"ntmaj10rel","Balanced.Accuracy","Minimal",0.84071606509748,0.821025531654606,0.859130489590332,0.00708004316788039,13.366
"429",28000,"ntmaj10rel","Balanced.Accuracy","Standard",0.839605350851423,0.825497565719979,0.858494921077933,0.00596607020480685,13.3556
"430",28000,"ntmaj10unknown","Balanced.Accuracy","Custom",0.503524974782488,0.499443629558444,0.51231162483457,0.0030909885542797,2.238
"431",28000,"ntmaj10unknown","Balanced.Accuracy","Minimal",0.503001038920852,0.499342803700521,0.510604484512251,0.002492808654894,2.2472
"432",28000,"ntmaj10unknown","Balanced.Accuracy","Standard",0.502515698320392,0.499316386469516,0.508686460152588,0.00252758096561497,2.26
"433",28000,"Onethirdsupportgifts","Balanced.Accuracy","Custom",0.575170434831882,0.568453633099966,0.584366010627915,0.00328944833418937,101.7662
"434",28000,"Onethirdsupportgifts","Balanced.Accuracy","Minimal",0.575336760237939,0.56776792294076,0.584872244389383,0.00344805423630442,101.7677
"435",28000,"Onethirdsupportgifts","Balanced.Accuracy","Standard",0.575563926196015,0.568456961253465,0.583005606986895,0.00291743836986021,101.852
"436",28000,"Onethirdsupportpublic","Balanced.Accuracy","Custom",0.573583197229897,0.566527161428598,0.582394021000395,0.00350739987268659,76.4899
"437",28000,"Onethirdsupportpublic","Balanced.Accuracy","Minimal",0.573168973696668,0.563799485410752,0.581499272683101,0.0031078869424878,76.6781
"438",28000,"Onethirdsupportpublic","Balanced.Accuracy","Standard",0.573495763891405,0.564756884127268,0.581189701150674,0.00297474291940491,76.5472
"439",28000,"Orgpurposeamateursports","Balanced.Accuracy","Custom",0.858921291550252,0.845088961764831,0.871449526613344,0.00546731969483946,14.6464
"440",28000,"Orgpurposeamateursports","Balanced.Accuracy","Minimal",0.859726818527615,0.845972600045302,0.870655516975533,0.00485233214649853,14.6663
"441",28000,"Orgpurposeamateursports","Balanced.Accuracy","Standard",0.860304673962742,0.843889320575214,0.872748233033692,0.00556789263283731,14.6473
"442",28000,"Orgpurposecharitable","Balanced.Accuracy","Custom",0.692633610440117,0.682568982738467,0.703147012377714,0.00412925474095115,156.9785
"443",28000,"Orgpurposecharitable","Balanced.Accuracy","Minimal",0.692116906154249,0.681786199551981,0.700439027143202,0.00377461675131625,156.9376
"444",28000,"Orgpurposecharitable","Balanced.Accuracy","Standard",0.691625282580836,0.683218095396635,0.702519009323246,0.00364228494272213,156.9464
"445",28000,"Orgpurposecrueltyprevention","Balanced.Accuracy","Custom",0.721271126681715,0.705155979618173,0.738288041073483,0.00723600308760349,11.7075
"446",28000,"Orgpurposecrueltyprevention","Balanced.Accuracy","Minimal",0.721633209290788,0.707184059256029,0.736429615946621,0.00595430775939149,11.777
"447",28000,"Orgpurposecrueltyprevention","Balanced.Accuracy","Standard",0.721433071164714,0.702038947035897,0.739631382158833,0.00657971001971061,11.7448
"448",28000,"Orgpurposeeducational","Balanced.Accuracy","Custom",0.683399913604158,0.677049476114883,0.689863640234038,0.00293171956119784,98.0525
"449",28000,"Orgpurposeeducational","Balanced.Accuracy","Minimal",0.684144606631795,0.67768571948584,0.693137254901961,0.00282742589083667,98.1195
"450",28000,"Orgpurposeeducational","Balanced.Accuracy","Standard",0.684889617600704,0.677626901211208,0.693877413419189,0.00293717302274637,98.1672
"451",28000,"Orgpurposeliterary","Balanced.Accuracy","Custom",0.551607651493476,0.539467216842236,0.564416421077598,0.00558385729389697,9.8871
"452",28000,"Orgpurposeliterary","Balanced.Accuracy","Minimal",0.552943067266998,0.542333973923344,0.564261916044969,0.00466634745662779,9.8675
"453",28000,"Orgpurposeliterary","Balanced.Accuracy","Standard",0.553994480485511,0.539476738135647,0.566093156505504,0.00544385308322556,9.8805
"454",28000,"Orgpurposepublicsafety","Balanced.Accuracy","Custom",0.502963999124618,0.499496323159061,0.515446114322008,0.00361498147706587,1.4222
"455",28000,"Orgpurposepublicsafety","Balanced.Accuracy","Minimal",0.503486640482887,0.499396104876453,0.513681646734065,0.00350978156101054,1.4018
"456",28000,"Orgpurposepublicsafety","Balanced.Accuracy","Standard",0.503763190808125,0.499345582683111,0.512335688659159,0.00338146013084751,1.389
"457",28000,"Orgpurposereligious","Balanced.Accuracy","Custom",0.803266154620988,0.789916653613368,0.815377859587789,0.00512557655378654,24.1408
"458",28000,"Orgpurposereligious","Balanced.Accuracy","Minimal",0.803448779890702,0.790778652102959,0.815999458929258,0.0048525708477738,24.1521
"459",28000,"Orgpurposereligious","Balanced.Accuracy","Standard",0.802310832984037,0.787686216277522,0.813190496069981,0.00464945096592248,24.1393
"460",28000,"Orgpurposescientific","Balanced.Accuracy","Custom",0.604084837122803,0.592317675785659,0.620785024345756,0.00630541107661656,10.9777
"461",28000,"Orgpurposescientific","Balanced.Accuracy","Minimal",0.606742346349769,0.592278180999684,0.61787260673743,0.00535570253357048,10.9319
"462",28000,"Orgpurposescientific","Balanced.Accuracy","Standard",0.608277721004089,0.592141374990212,0.625991448851586,0.00705228039415938,10.9722
"463",32000,"Disasterreliefyes","Balanced.Accuracy","Custom",0.541729362644088,0.532532981530343,0.553794830436899,0.00467978089826825,10.0428
